llm,dataset,method_a,method_b,paired_n,method_a_paired_correct,method_b_paired_correct,method_a_total,method_b_total,method_a_source_accuracy_pct,method_b_source_accuracy_pct,paired_delta_accuracy_pct,a_correct_b_wrong,a_wrong_b_correct,mcnemar_p_value,mcnemar_significant_0_05,paired_t_statistic,paired_t_p_value,paired_t_significant_0_05,source_a,source_b
gemma4:31b-cloud,Diabetes,Single-pass RAG w/ rerank,Agentic Workflow,53,44,45,53,53,83.02,84.91,1.89,3,4,1,False,0.374887,0.709269,False,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_MCQs_sample_questions2015_full_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_Diabetes.json
gemma4:31b-cloud,Thyroid,Single-pass RAG w/ rerank,Agentic Workflow,59,50,55,59,59,84.75,93.22,8.47,0,5,0.0625,False,2.31741,0.0240318,True,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ThyroidGland_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ThyroidGland.json
gemma4:31b-cloud,Parathyroid,Single-pass RAG w/ rerank,Agentic Workflow,43,39,41,43,43,90.70,95.35,4.65,1,3,0.625,False,1,0.323037,False,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ParathyroidGlandAndBoneDisease_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ParathyroidGlandAndBoneDisease.json
gemma4:31b-cloud,Pituitary,Single-pass RAG w/ rerank,Agentic Workflow,54,44,50,54,54,81.48,92.59,11.11,0,6,0.03125,True,2.57391,0.0128876,True,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_PituitaryGlandAndHypothalamus_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_PituitaryGlandAndHypothalamus.json
gemma4:31b-cloud,Adrenal,Single-pass RAG w/ rerank,Agentic Workflow,50,43,44,50,50,86.00,88.00,2.00,3,4,1,False,0.374701,0.709499,False,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_AdrenalGlands_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_AdrenalGlands.json
gemma4:31b-cloud,Reproductive,Single-pass RAG w/ rerank,Agentic Workflow,42,32,36,42,42,76.19,85.71,9.52,1,5,0.21875,False,1.66723,0.10309,False,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ReproductiveEndocrinology_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ReproductiveEndocrinology.json
gemma4:31b-cloud,UKEU,Single-pass RAG w/ rerank,Agentic Workflow,85,62,69,85,85,72.94,81.18,8.24,5,12,0.143463,False,1.7171,0.0896464,False,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_UKEU_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_UKEU.json
gemma4:31b-cloud,All datasets,Single-pass RAG w/ rerank,Agentic Workflow,386,314,340,386,386,81.35,88.08,6.74,13,39,0.000409541,True,3.66309,0.000284068,True,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_MCQs_sample_questions2015_full_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ThyroidGland_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ParathyroidGlandAndBoneDisease_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_PituitaryGlandAndHypothalamus_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_AdrenalGlands_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ReproductiveEndocrinology_dataset_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_UKEU_diabetesVectorTool512_100_gemma4_31b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_Diabetes.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ThyroidGland.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ParathyroidGlandAndBoneDisease.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_PituitaryGlandAndHypothalamus.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_AdrenalGlands.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ReproductiveEndocrinology.json;results/Method_vectorRAG/gemma4:31b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_UKEU.json
nemotron-3-nano:30b,Diabetes,Single-pass RAG w/ rerank,Agentic Workflow,53,42,45,53,53,79.25,84.91,5.66,2,5,0.453125,False,1.13702,0.260742,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_MCQs_sample_questions2015_full_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_Diabetes.json
nemotron-3-nano:30b,Thyroid,Single-pass RAG w/ rerank,Agentic Workflow,59,52,51,59,59,88.14,86.44,-1.69,4,3,1,False,-0.375202,0.708879,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ThyroidGland_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ThyroidGland.json
nemotron-3-nano:30b,Parathyroid,Single-pass RAG w/ rerank,Agentic Workflow,43,37,38,43,43,86.05,88.37,2.33,3,4,1,False,0.374166,0.710163,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ParathyroidGlandAndBoneDisease_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ParathyroidGlandAndBoneDisease.json
nemotron-3-nano:30b,Pituitary,Single-pass RAG w/ rerank,Agentic Workflow,54,39,40,54,54,72.22,74.07,1.85,4,5,1,False,0.330573,0.742271,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_PituitaryGlandAndHypothalamus_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_PituitaryGlandAndHypothalamus.json
nemotron-3-nano:30b,Adrenal,Single-pass RAG w/ rerank,Agentic Workflow,50,38,39,50,50,76.00,78.00,2.00,5,6,1,False,0.298753,0.766392,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_AdrenalGlands_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_AdrenalGlands.json
nemotron-3-nano:30b,Reproductive,Single-pass RAG w/ rerank,Agentic Workflow,42,28,29,42,42,66.67,69.05,2.38,2,3,1,False,0.442913,0.660157,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_ReproductiveEndocrinology_dataset_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_ReproductiveEndocrinology.json
nemotron-3-nano:30b,UKEU,Single-pass RAG w/ rerank,Agentic Workflow,85,53,50,85,85,62.35,58.82,-3.53,14,11,0.690038,False,-0.597727,0.55163,False,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/LLM/Cosine_C512_100/rerank_qwen8b_Qwen_Qwen3-Reranker-8B_UKEU_diabetesVectorTool512_100_nemotron-3-nano_30b-cloud_qwen3-embedding_8b_1.json,results/Method_vectorRAG/nemotron-3-nano:30b-cloud/qwen3-embedding:8b/agentic_workflow_8B/agentic_workflow_eval_UKEU.json
