llm,reranker,diabetes,thyroid,parathyroid,pituitary,adrenal,reproductive,ukeu,macro_avg_pct,micro_avg_pct
gemma4:31b-cloud,No reranker,77.36,84.75,90.70,68.52,82.00,73.81,68.24,77.91,76.94
gemma4:31b-cloud,Qwen3-Reranker-8B,83.02,84.75,90.70,81.48,86.00,76.19,72.94,82.15,81.35
gemma4:31b-cloud,bge-reranker-v2-m3,77.36,84.75,83.72,68.52,76.00,78.57,62.35,75.90,74.61
gemma4:31b-cloud,jina-reranker-v3,77.36,84.75,90.70,77.78,84.00,76.19,72.94,80.53,79.79
gemma4:31b-cloud,ms-marco-MiniLM-L-6-v2,69.81,76.27,86.05,75.93,80.00,71.43,68.24,75.39,74.61
nemotron-3-nano:30b,No reranker,75.47,83.05,88.37,68.52,78.00,66.67,57.65,73.96,72.54
nemotron-3-nano:30b,Qwen3-Reranker-8B,79.25,88.14,86.05,72.22,76.00,66.67,62.35,75.81,74.87
nemotron-3-nano:30b,bge-reranker-v2-m3,75.47,77.97,79.07,72.22,68.00,66.67,56.47,70.84,69.69
nemotron-3-nano:30b,jina-reranker-v3,75.47,83.05,86.05,70.37,80.00,61.90,65.88,74.67,74.09
nemotron-3-nano:30b,ms-marco-MiniLM-L-6-v2,69.81,76.27,86.05,64.81,76.00,64.29,58.82,70.86,69.69
mistral-small3.2:24b,No reranker,66.04,81.36,90.70,68.52,78.00,61.90,49.41,70.85,68.91
mistral-small3.2:24b,Qwen3-Reranker-8B,64.15,83.05,83.72,75.93,78.00,64.29,51.76,71.56,69.95
mistral-small3.2:24b,bge-reranker-v2-m3,64.15,81.36,86.05,64.81,74.00,61.90,51.76,69.15,67.62
mistral-small3.2:24b,jina-reranker-v3,66.04,81.36,86.05,72.22,84.00,66.67,48.24,72.08,69.95
mistral-small3.2:24b,ms-marco-MiniLM-L-6-v2,66.04,77.97,86.05,72.22,70.00,59.52,51.76,69.08,67.62
minimax-m2.7:cloud,No reranker,75.47,83.05,90.70,79.63,82.00,71.43,65.88,78.31,77.20
minimax-m2.7:cloud,Qwen3-Reranker-8B,79.25,86.44,90.70,83.33,82.00,73.81,70.59,80.87,80.05
minimax-m2.7:cloud,bge-reranker-v2-m3,71.70,83.05,86.05,81.48,80.00,76.19,65.88,77.76,76.68
minimax-m2.7:cloud,jina-reranker-v3,77.36,83.05,93.02,81.48,78.00,66.67,71.76,78.76,78.24
minimax-m2.7:cloud,ms-marco-MiniLM-L-6-v2,77.36,76.27,93.02,79.63,82.00,78.57,65.88,78.96,77.46
