llm,embedding,diabetes,thyroid,parathyroid,pituitary,adrenal,reproductive,ukeu,macro_avg_pct,micro_avg_pct
gemma4:31b-cloud,Embedding Gemma,66.04,71.19,86.05,64.81,74.00,57.14,62.35,68.80,68.13
gemma4:31b-cloud,BGE-M3,66.04,67.80,81.40,53.70,68.00,66.67,54.12,65.39,63.99
gemma4:31b-cloud,Text embed-3-large,73.58,76.27,76.74,68.52,66.00,66.67,60.00,69.68,68.91
gemma4:31b-cloud,Nomic embed-text,47.17,57.63,65.12,66.67,62.00,54.76,49.41,57.54,56.74
gemma4:31b-cloud,Qwen3 8B,77.36,84.75,90.70,68.52,82.00,73.81,68.24,77.91,76.94
nemotron-3-nano:30b,Embedding Gemma,66.04,74.58,81.40,70.37,72.00,64.29,54.12,68.97,67.62
nemotron-3-nano:30b,BGE-M3,71.70,76.27,83.72,61.11,74.00,64.29,54.12,69.32,67.88
nemotron-3-nano:30b,Text embed-3-large,66.04,67.80,86.05,64.81,72.00,61.90,48.24,66.69,64.77
nemotron-3-nano:30b,Nomic embed-text,62.26,64.41,69.77,59.26,64.00,50.00,56.47,60.88,60.62
nemotron-3-nano:30b,Qwen3 8B,75.47,83.05,88.37,68.52,78.00,66.67,57.65,73.96,72.54
mistral-small3.2:24b,Embedding Gemma,64.15,74.58,90.70,70.37,68.00,54.76,45.88,66.92,65.03
mistral-small3.2:24b,BGE-M3,56.60,76.27,81.40,64.81,62.00,66.67,49.41,65.31,63.73
mistral-small3.2:24b,Text embed-3-large,62.26,64.41,81.40,66.67,70.00,61.90,43.53,64.31,62.18
mistral-small3.2:24b,Nomic embed-text,60.38,67.80,81.40,53.70,64.00,54.76,50.59,61.80,60.62
mistral-small3.2:24b,Qwen3 8B,66.04,81.36,90.70,68.52,78.00,61.90,49.41,70.85,68.91
minimax-m2.7:cloud,Embedding Gemma,67.92,67.80,60.47,64.81,76.00,35.71,64.71,62.49,63.47
minimax-m2.7:cloud,BGE-M3,75.47,81.36,88.37,64.81,72.00,73.81,71.76,75.37,74.87
minimax-m2.7:cloud,Text embed-3-large,75.47,74.58,90.70,72.22,70.00,66.67,60.00,72.81,71.50
minimax-m2.7:cloud,Nomic embed-text,62.26,72.88,79.07,70.37,72.00,71.43,61.18,69.88,68.91
minimax-m2.7:cloud,Qwen3 8B,75.47,83.05,90.70,79.63,82.00,71.43,65.88,78.31,77.20
